年月,房屋類型,地址,屋齡(年),格局,出售樓層/ 總樓層,建物坪數,土地坪數,車位坪數,每坪單價,成交總價
10412(實價),透天厝,嘉義市嘉義市新生路576巷1~30號,17.2,5房/2廳/4衛,1 /共4層,113.28,46.08,--,6.9萬,780萬
10412(實價),店面(店鋪),嘉義市嘉義市垂楊路271~300號,51.5,3房/1廳/2衛,1 /共2層,47.04,29.04,--,25.5萬,1200萬
10412(實價),透天厝,嘉義市嘉義市芳德街91~120號,21.4,3房/1廳/3衛,1 /共6層,56.92,12.58,--,7.8萬,446萬
10412(實價),透天厝,嘉義市嘉義市下埤里2鄰頂埤1~30號,36.2,3房/2廳/2衛,1 /共2層,43.87,41.73,--,9.6萬,420萬
10412(實價),透天厝,嘉義市嘉義市大富四街61~90號,10.8,4房/2廳/4衛,1 /共3層,54.84,33.73,--,15.5萬,850萬
10412(實價),純土地,湖內段1471~1500地號,--,0房/0廳/0衛,0 /共0層,--,2064.26,--,4.2萬,8670萬
10412(實價),華廈,嘉義市嘉義市大同路481~510號,21.3,4房/1廳/1衛,4 /共8層,55.78,6.23,--,6.8萬,380萬
10412(實價),純土地,下路頭段601~630地號,--,0房/0廳/0衛,0 /共0層,--,9.08,--,5.7萬,51萬
10412(實價),純土地,育人段241~270地號,--,0房/0廳/0衛,0 /共0層,--,3.22,--,5.6萬,18萬
10412(實價),華廈(含車位),嘉義市嘉義市北興街151~180號,22,0房/0廳/0衛,2 /共7層,224.16,46.71,--,5.8萬,1300萬
10412(實價),華廈,嘉義市嘉義市文雅街116巷31~60號,19.5,2房/2廳/2衛,9 /共9層,26.14,4.93,--,9萬,235萬
10412(實價),透天厝(含車位),嘉義市嘉義市興仁街10巷1~30號,37.9,4房/1廳/3衛,1 /共2層,35.54,35.7,--,10.7萬,380萬
10412(實價),純土地,下路頭段121~150地號,--,0房/0廳/0衛,0 /共0層,--,13.61,--,4.6萬,62萬
10412(實價),華廈,嘉義市嘉義市世賢路四段350巷21弄1~30號,21.5,5房/1廳/2衛,2 /共10層,43.33,9.32,--,7.4萬,320萬
10412(實價),純土地,竹圍子段友愛小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,27.53,--,18.2萬,500萬
10412(實價),店面(店鋪),嘉義市嘉義市中山路271~300號,44.8,4房/1廳/2衛,1 /共4層,13.03,3.48,--,30.7萬,400萬
10412(實價),華廈(含車位),嘉義市嘉義市大雅路二段421~450號,20.9,3房/1廳/1衛,6 /共7層,36.35,6.18,--,11.1萬,403萬
10412(實價),透天厝,嘉義市嘉義市義教街31~60號,26.7,5房/1廳/3衛,1 /共2層,39.12,21.48,--,13.2萬,515萬
10412(實價),住宅大樓,嘉義市嘉義市興業西路331~360號,21.6,3房/2廳/2衛,6 /共12層,38.57,5.21,--,10.8萬,415萬
10412(實價),純土地,湖內段1381~1410地號,--,0房/0廳/0衛,0 /共0層,--,4.54,--,7.1萬,32萬
10412(實價),華廈,嘉義市嘉義市金龍街31~60號,22,3房/2廳/2衛,2 /共7層,36.26,7.58,--,8.6萬,310萬
10412(實價),純土地,北園段1621~1650地號,--,0房/0廳/0衛,0 /共0層,--,15.44,--,3.2萬,50萬
10412(實價),套房,嘉義市嘉義市小雅路331~360號,22.5,1房/0廳/1衛,10 /共12層,8.5,1.09,--,5.9萬,50萬
10412(實價),透天厝,嘉義市嘉義市芳安路335巷1~30號,35.9,4房/3廳/2衛,1 /共4層,36.66,19.66,--,13.1萬,480萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市新民路391~420號,21.4,3房/2廳/2衛,11 /共12層,40.18,5.97,--,8萬,320萬
10412(實價),套房,嘉義市嘉義市博愛路一段482巷1~30號,20.9,1房/1廳/1衛,4 /共7層,8.72,1.44,--,10.6萬,92萬
10412(實價),住宅大樓,嘉義市嘉義市博東路151~180號,17.8,3房/2廳/2衛,8 /共22層,35.7,4.38,--,9.4萬,336萬
10412(實價),華廈,嘉義市嘉義市永福一街31~60號,24.7,3房/2廳/2衛,5 /共8層,36.5,4.54,--,7.3萬,265萬
10412(實價),透天厝,嘉義市嘉義市過溪271~300號,38.6,2房/1廳/1衛,1 /共2層,27.22,19.66,--,6萬,162萬
10412(實價),透天厝,嘉義市嘉義市保仁三街162巷1弄1~30號,42.2,2房/2廳/2衛,1 /共2層,18.51,15.13,--,11.9萬,220萬
10412(實價),透天厝,嘉義市嘉義市軍輝路271~300號,0.8,4房/2廳/4衛,1 /共4層,69.68,39.02,--,20.5萬,1425萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市大雅路二段495巷31~60號,22.2,3房/2廳/2衛,12 /共15層,41.69,4.16,--,8.9萬,370萬
10412(實價),套房,嘉義市嘉義市彌陀路241~270號,23.6,1房/1廳/1衛,10 /共12層,9.93,1.52,--,9.6萬,95萬
10412(實價),透天厝,嘉義市嘉義市垂楊路629巷1~30號,47,2房/2廳/2衛,1 /共2層,19.05,12.71,--,14.2萬,270萬
10412(實價),透天厝,嘉義市嘉義市永樂三街1~30號,24.3,5房/2廳/3衛,1 /共4層,59.57,30.55,--,11.1萬,660萬
10412(實價),純土地,鳥岫段1~30地號,--,0房/0廳/0衛,0 /共0層,--,801.29,--,0.6萬,520萬
10412(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19.8,1房/2廳/1衛,8 /共20層,21.4,1.48,--,10.5萬,225萬
10412(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.5,2房/1廳/1衛,11 /共16層,29.17,3.49,--,8.9萬,260萬
10412(實價),純土地,港子坪段211~240地號,--,0房/0廳/0衛,0 /共0層,--,194.51,--,6.8萬,1320萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,12.8,4房/2廳/2衛,5 /共13層,60.55,14.95,--,7.6萬,460萬
10412(實價),透天厝,嘉義市嘉義市北鎮街121~150號,43.1,4房/1廳/1衛,1 /共2層,24.91,15.13,--,4.9萬,121萬
10412(實價),透天厝,嘉義市嘉義市芳安路17巷241~270號,35.7,3房/1廳/2衛,1 /共2層,31.72,39.93,--,15.1萬,480萬
10412(實價),華廈(含車位),嘉義市嘉義市林森東路211巷1~30號,25.9,4房/2廳/3衛,1 /共7層,92.86,17.07,--,10.8萬,1000萬
10412(實價),透天厝,嘉義市嘉義市文雅街331~360號,12,5房/2廳/4衛,1 /共4層,55.77,27.23,--,17.8萬,990萬
10412(實價),純土地,下路頭段841~870地號,--,0房/0廳/0衛,0 /共0層,--,16.94,--,6.5萬,110萬
10412(實價),透天厝,嘉義市嘉義市保安二路91~120號,5.1,4房/3廳/4衛,1 /共4層,62.33,19.97,--,23.3萬,1450萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,34.28,--,12萬,410萬
10412(實價),住宅大樓,嘉義市嘉義市保建街31~60號,22.5,3房/2廳/3衛,8 /共12層,36.81,6.2,--,9.8萬,360萬
10412(實價),套房,嘉義市嘉義市文雅街116巷1~30號,19.5,1房/1廳/1衛,4 /共9層,10.3,1.48,--,7.8萬,80萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市四維路91~120號,16.8,3房/2廳/2衛,3 /共13層,37.45,4.27,2.99,9.4萬,353萬
10412(實價),華廈,嘉義市嘉義市永福一街31~60號,24.7,3房/1廳/1衛,8 /共8層,31.96,4.54,--,6.9萬,220萬
10412(實價),透天厝,嘉義市嘉義市國華新村1~30號,46.8,3房/2廳/2衛,1 /共2層,25.32,21.78,--,8.7萬,220萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,17.8,4房/2廳/2衛,2 /共22層,54.92,5.6,--,8.1萬,445萬
10412(實價),透天厝,嘉義市嘉義市博愛路二段991~1020號,3.2,5房/3廳/5衛,1 /共4層,70.83,43.83,--,19.8萬,1400萬
10412(實價),公寓,嘉義市嘉義市民生南路608巷151~180號,30.3,2房/2廳/1衛,3 /共5層,26.2,6.21,--,6.7萬,175萬
10412(實價),透天厝,嘉義市嘉義市興安街145巷1~30號,0.7,3房/2廳/3衛,1 /共3層,65.82,36.88,--,12.5萬,825萬
10412(實價),店面(店鋪),嘉義市嘉義市國華街331~360號,42.4,3房/1廳/2衛,1 /共2層,38.93,38.72,--,19.8萬,770萬
10412(實價),住宅大樓,嘉義市嘉義市玉山路158巷91~120號,20.4,3房/2廳/2衛,8 /共12層,37.1,4.59,--,8.9萬,330萬
10412(實價),住宅大樓,嘉義市嘉義市博東路91~120號,17.8,2房/1廳/1衛,14 /共22層,24.07,2.19,--,10.2萬,244萬
10412(實價),透天厝,嘉義市嘉義市保愛二街31~60號,0.5,3房/3廳/4衛,1 /共3層,58.78,36.4,--,14.1萬,828萬
10412(實價),透天厝,嘉義市嘉義市信義路55巷1~30號,29.5,4房/3廳/2衛,1 /共2層,31.81,21.48,--,17.6萬,560萬
10412(實價),純土地,下埤段1321~1350地號,--,0房/0廳/0衛,0 /共0層,--,878.26,--,0.9萬,790萬
10412(實價),透天厝,嘉義市嘉義市新龍街2巷1~30號,6.8,3房/2廳/4衛,1 /共4層,62.45,31.01,--,15萬,938萬
10412(實價),純土地,下路頭段181~210地號,--,0房/0廳/0衛,0 /共0層,--,3.93,--,5.1萬,20萬
10412(實價),透天厝,嘉義市嘉義市水源地31~60號,22.2,4房/2廳/3衛,1 /共3層,52.6,57.02,--,15.2萬,800萬
10412(實價),透天厝,嘉義市嘉義市五福街20巷25弄31~60號,38.7,4房/2廳/3衛,1 /共2層,26.31,18.15,--,22萬,580萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市永安街331~360號,11.2,4房/2廳/2衛,2 /共12層,56.66,9.98,--,8.1萬,460萬
10412(實價),透天厝,嘉義市嘉義市玉康路12巷1~30號,21.2,4房/3廳/3衛,1 /共3層,47.42,26.02,--,14.1萬,670萬
10412(實價),純土地,荖藤段241~270地號,--,0房/0廳/0衛,0 /共0層,--,144.6,--,2萬,289萬
10412(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,20.2,1房/1廳/1衛,9 /共11層,10.74,1.69,--,11.6萬,125萬
10412(實價),透天厝,嘉義市嘉義市東義路176巷1~30號,26.4,5房/3廳/2衛,1 /共2層,41.29,31.73,--,14.9萬,617萬
10412(實價),純土地,下路頭段181~210地號,--,0房/0廳/0衛,0 /共0層,--,3.03,--,6.6萬,20萬
10412(實價),純土地,下路頭段181~210地號,--,0房/0廳/0衛,0 /共0層,--,2.72,--,7.3萬,20萬
10412(實價),套房,嘉義市嘉義市林森西路1~30號,31.9,1房/0廳/1衛,9 /共12層,11.9,1.21,--,7.1萬,85萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市永安街301~330號,11.2,4房/1廳/2衛,10 /共14層,25.69,4.5,--,8萬,206萬
10412(實價),透天厝,嘉義市嘉義市姜安街61~90號,0.4,5房/3廳/5衛,1 /共3層,69.51,35.7,--,24.9萬,1728萬
10412(實價),透天厝,嘉義市嘉義市北鎮街120巷1~30號,43.7,2房/2廳/1衛,1 /共1層,20.29,37.21,--,21.1萬,427萬
10412(實價),透天厝,嘉義市嘉義市大孝街1~30號,4.1,4房/2廳/4衛,1 /共3層,59.44,37.41,--,18萬,1070萬
10412(實價),透天厝,嘉義市嘉義市忠孝北街151~180號,8.6,4房/3廳/3衛,1 /共3層,45.74,25.41,--,14萬,640萬
10412(實價),透天厝,嘉義市嘉義市立仁路121~150號,12.4,4房/3廳/3衛,1 /共4層,44.06,23.29,--,20.9萬,920萬
10412(實價),華廈,嘉義市嘉義市泰瑞一街31~60號,20.5,3房/1廳/2衛,7 /共7層,42.86,7.18,--,8.4萬,360萬
10412(實價),透天厝,嘉義市嘉義市過溪151~180號,37.9,3房/2廳/2衛,1 /共2層,27.17,19.66,--,11萬,298萬
10412(實價),透天厝,嘉義市嘉義市博愛路二段91~120號,39.5,4房/2廳/3衛,1 /共3層,55.45,27.83,--,15.9萬,880萬
10412(實價),透天厝,嘉義市嘉義市王田里11鄰大同新村61~90號,45.5,3房/2廳/2衛,1 /共2層,40.63,72,--,24.6萬,1000萬
10412(實價),透天厝,嘉義市嘉義市文化路566巷71弄1~30號,41,2房/2廳/2衛,1 /共2層,23.35,16.64,--,6.6萬,155萬
10412(實價),公寓,嘉義市嘉義市仁義新村31~60號,33.6,3房/2廳/1衛,5 /共5層,24.18,12.9,--,6.2萬,150萬
10412(實價),住宅大樓,嘉義市嘉義市民權路1~30號,17.7,4房/2廳/3衛,13 /共16層,60.71,9.99,--,11.9萬,722萬
10412(實價),純土地,下路頭段451~480地號,--,0房/0廳/0衛,0 /共0層,--,19.97,--,10萬,199萬
10412(實價),透天厝,嘉義市嘉義市新西里9鄰老吸街43巷1~30號,45.7,2房/1廳/1衛,1 /共1層,14.86,18.76,--,13.1萬,195萬
10412(實價),華廈,嘉義市嘉義市林森東路105巷1~30號,22.3,3房/2廳/2衛,3 /共6層,39.12,9.21,--,9.8萬,385萬
