年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10408(實價),華廈(含車位),嘉義市嘉義市忠義街61~90號,22.5,3房/1廳/1衛,6 /共6層,43.53,6.64,--,--萬,6.9萬,300萬,600台灣嘉義市西區忠義街50號,23.4769498,120.4476631,文化里
10408(實價),透天厝,嘉義市嘉義市世賢路四段350巷21弄1~30號,34.3,3房/2廳/2衛,1 /共2層,37.86,33.28,--,--萬,10.3萬,390萬,600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358,美源里
10408(實價),華廈,嘉義市嘉義市自強街195巷31~60號,24.2,3房/2廳/2衛,4 /共7層,29.35,5.61,--,--萬,10.2萬,300萬,600台灣嘉義市西區自強街195巷27號,23.464458,120.4203273,劉厝里
10408(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,17.4,3房/2廳/2衛,17 /共22層,61.82,6.81,--,--萬,8.7萬,540萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,太平里
10408(實價),華廈,嘉義市嘉義市文雅街121~150號,19.2,1房/0廳/1衛,5 /共9層,12.69,1.97,--,--萬,8.9萬,113萬,600台灣嘉義市東區文雅街168號,23.4833501,120.4847978,文雅里
10408(實價),透天厝,嘉義市嘉義市友竹街1~30號,9.8,5房/3廳/4衛,1 /共4層,53.17,28.44,--,--萬,14.7萬,780萬,600台灣嘉義市西區友竹街12號,23.4830526,120.4383302,竹圍里
10408(實價),華廈,嘉義市嘉義市東區嘉北街66巷1~30號,24.8,4房/2廳/2衛,4 /共7層,42.14,8.47,--,--萬,3.6萬,150萬,600台灣嘉義市東區嘉北街66巷5號,23.493988,120.454477,頂庄里
10408(實價),店面(店鋪),嘉義市嘉義市林森東路421~450號,31,4房/3廳/3衛,1 /共3層,52.18,35.7,--,--萬,28.7萬,1500萬,600台灣嘉義市東區林森東路418號,23.490773,120.4685817,後庄里
10408(實價),店面(店鋪),嘉義市嘉義市林森東路571~600號,8,4房/2廳/3衛,1 /共2層,67.69,69.58,--,--萬,26.6萬,1800萬,600台灣嘉義市東區林森東路571號,23.492444,120.476192,後庄里
10408(實價),公寓,嘉義市嘉義市福州六街1~30號,21.8,3房/1廳/3衛,1 /共7層,51.84,9.81,--,--萬,8.1萬,420萬,600台灣嘉義市西區福州六街1號,23.4633687,120.4312435,福民里
10408(實價),住宅大樓,嘉義市嘉義市南京路1~30號,22.1,2房/2廳/1衛,5 /共12層,30.68,4.48,--,--萬,8萬,246萬,600台灣嘉義市西區南京路30號,23.4562023,120.4426332,獅子里
10408(實價),華廈(含車位),嘉義市嘉義市嘉北街12巷1~30號,24.4,1房/1廳/1衛,1 /共7層,16.97,0.44,--,--萬,1.5萬,25萬,600台灣嘉義市東區嘉北街30號,23.4938508,120.4556015,仁義里
10408(實價),華廈,嘉義市嘉義市嘉北街12巷1~30號,24.4,3房/2廳/2衛,2 /共7層,42.63,7.08,--,--萬,11萬,470萬,600台灣嘉義市東區嘉北街30號,23.4938508,120.4556015,仁義里
10408(實價),透天厝,嘉義市嘉義市大雅路一段368巷61~90號,0.2,5房/2廳/4衛,1 /共4層,79.95,58.22,--,--萬,15.6萬,1250萬,600台灣嘉義市東區大雅路一段32號,23.4802408,120.5032865,盧厝里
10408(實價),華廈,嘉義市嘉義市芳安路375巷1~30號,18.8,2房/1廳/1衛,6 /共6層,26.41,6.49,--,--萬,11萬,290萬,600台灣嘉義市東區芳安路1號,23.4688333,120.4654,芳草里
10408(實價),華廈(含車位),嘉義市嘉義市福全街107巷1~30號,20.6,3房/2廳/2衛,4 /共8層,36.43,7.17,--,--萬,6.3萬,230萬,600台灣嘉義市西區民生南路850巷1弄30號,23.4545835,120.4393273,湖內里
10408(實價),住宅大樓(含車位),嘉義市嘉義市興達路592巷1~30號,22.2,3房/2廳/2衛,7 /共12層,33.57,4.15,--,--萬,8.6萬,290萬,600台灣嘉義市西區興達路1號,23.4891942,120.4455982,湖邊里
10408(實價),透天厝,嘉義市嘉義市大雅路一段368巷61~90號,0.2,5房/2廳/4衛,1 /共4層,75.31,57.22,--,--萬,17.3萬,1300萬,600台灣嘉義市東區大雅路一段32號,23.4802408,120.5032865,盧厝里
10408(實價),透天厝,嘉義市嘉義市大雅路一段368巷61~90號,0.2,5房/2廳/4衛,1 /共4層,66.8,53.34,--,--萬,18萬,1200萬,600台灣嘉義市東區大雅路一段32號,23.4802408,120.5032865,盧厝里
10408(實價),住宅大樓,嘉義市嘉義市友愛路721~750號,24.2,4房/2廳/2衛,11 /共12層,52.59,7.26,--,--萬,9.5萬,500萬,600台灣嘉義市西區友愛路725號,23.4917426,120.4391887,新厝里
