鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
民雄鄉,建物,嘉義縣民雄鄉文隆村鴨母?1~30號,0.0,,,,1050920,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050729,193.86,5,1,5,有,無,3380000,17435,,0.0,0,,RPVNMLNLKILFFCQ86CA
民雄鄉,建物,嘉義縣民雄鄉文隆村鴨母?1~30號,0.0,,,,1051208,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050729,180.87,6,1,6,有,無,3200000,17692,,0.0,0,,RPVNMLSLKILFFCQ37CA
布袋鎮,建物,嘉義縣布袋鎮復興里22鄰新塭121~150號,0.0,,,,1060103,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土加強磚造,0850701,303.4,6,2,7,有,無,2176000,7172,,0.0,0,,RPWNMLNLJHMFFBQ86DA
新港鄉,建物,嘉義縣新港鄉中正路121~150號,0.0,,,,1051229,土地0建物2車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670315,177.17,6,4,4,有,無,500000,2822,,0.0,0,,RPSNMLPKKHMFFCQ86EA
水上鄉,土地,大堀尾段江竹小段121~150地號,2895.0,,特定農業區,農牧用地,1060324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4342500,1500,,0.0,0,,RPQNMLQJMHMFFDQ96EA
竹崎鄉,土地,沙坑段451~480地號,2667.0,,山坡地保育區,水利用地,1060322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,544,,0.0,0,,RPSNMLQJMHMFFEQ27EA
阿里山鄉,土地,茶山段241~270地號,1164.0,,山坡地保育區,農牧用地,1051123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190000,163,,0.0,0,,RPTNMLQJMHMFFEQ37EA
竹崎鄉,土地,樟樹坪段991~1020地號,1006.24,,山坡地保育區,農牧用地,1060323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,140000,139,,0.0,0,,RPSNMLRJMHMFFEQ37EA
水上鄉,房地(土地+建物),嘉義縣水上鄉柳新村14鄰柳子林1651~1680號,68.06,,鄉村區,乙種建築用地,1060227,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700603,102.61,3,2,2,有,無,2000000,19491,,0.0,0,,RPRNMLKKMHMFFDQ09DA
竹崎鄉,房地(土地+建物),嘉義縣竹崎鄉灣橋村15鄰石麻園61~90號,101.2,,鄉村區,乙種建築用地,1060320,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0710615,56.58,3,2,1,有,無,600000,10604,,0.0,0,,RPRNMLRJMHMFFEQ17DA
東石鄉,房地(土地+建物),嘉義縣東石鄉觀海一路61~90號,100.45,,特定專用區,甲種建築用地,1060321,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050804,183.68,4,2,4,有,無,5700000,31032,,0.0,0,,RPQNMLQJMHMFFBQ66DA
東石鄉,房地(土地+建物),嘉義縣東石鄉觀海一路61~90號,103.57,,特定專用區,甲種建築用地,1060325,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050804,183.68,4,2,4,有,無,6000000,32666,,0.0,0,,RPTNMLQJMHMFFBQ96DA
梅山鄉,土地,生毛樹段931~960地號,976.0,,風景區,丙種建築用地,1060313,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160000,1189,,0.0,0,價金含地上物,RPPNMLSJMHMFFEQ96CA
番路鄉,土地,公田段91~120地號,19227.0,,森林區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,203,,0.0,0,受債權債務影響或債務抵償之交易。,RPTNMLMJNHMFFEQ86CA
